seed;obj;alpha;beta;mu;sigmaT;sigmaD;x0
768;4.471673240642586e-06;0.9256162857036234;[0.1468428  0.07123944 0.10306746 0.12989644];[0.01151401 0.0157856  0.01031815 0.00663618];8.708271318331083e-11;6.834493982998669e-13;[0.70541095 0.10647863 0.15657322 0.18075893 0.07934358 0.0095664 0.01764453 0.00808192 0.01483814]
2432;4.489817835424954e-06;0.9126532569629306;[0.14565119 0.07212207 0.10030546 0.1268001 ];[0.01046106 0.01587388 0.01023328 0.00713855];8.708271318331083e-11;6.834493982998669e-13;[0.75024732 0.14621092 0.1413475  0.10124302 0.19515618 0.01851647 0.00963276 0.01851915 0.01281566]
15522;4.8356075435386035e-06;0.9120905378547615;[0.14553942 0.07232385 0.10118345 0.12608555];[0.0106978  0.01594742 0.0099485  0.00712244];8.708271318331083e-11;6.834493982998669e-13;[0.88290263 0.16051799 0.133041   0.06516038 0.15230096 0.00808953 0.01693277 0.01846511 0.01025488]
26237;4.8798728749431645e-06;0.899813694183315;[0.14437072 0.07302248 0.10044583 0.12526968];[0.00977776 0.0157593  0.01012642 0.00685803];8.708271318331083e-11;6.834493982998669e-13;[0.75444952 0.09698319 0.18129692 0.12538158 0.05713443 0.0164745 0.0127828  0.01531965 0.00876388]
609;4.682506369495689e-06;0.8599752584898966;[0.14128644 0.07590857 0.10235859 0.12775034];[0.00953466 0.01635067 0.01071613 0.00696321];8.708271318331083e-11;6.834493982998669e-13;[0.89472554 0.19066605 0.15051709 0.06783296 0.19889285 0.01917371 0.01135675 0.01831686 0.0169119 ]
6609;4.358223683489559e-06;0.9205504646831452;[0.1463381  0.0710209  0.10069078 0.12736775];[0.01064691 0.01559316 0.01021034 0.00727478];8.708271318331083e-11;6.834493982998669e-13;[0.8128632  0.05075815 0.15868822 0.08834876 0.14753686 0.00534052 0.00841329 0.01557529 0.00568622]
18727;4.531660470772945e-06;0.910845468713036;[0.14500435 0.07158389 0.10070185 0.12736149];[0.01027829 0.01549068 0.0105192  0.00712234];8.708271318331083e-11;6.834493982998669e-13;[0.91513524 0.09698024 0.09527121 0.14088692 0.0550948  0.00726851 0.0181204  0.00965918 0.01161006]
26011;4.514728938454967e-06;0.894817710959398;[0.14621236 0.07649965 0.09936086 0.12348128];[0.01046364 0.01589771 0.00997243 0.00686305];8.708271318331083e-11;6.834493982998669e-13;[0.72209632 0.08161218 0.13970726 0.13131379 0.08952098 0.00693525 0.01839691 0.01037285 0.01231553]
3933;4.454367640737367e-06;0.9001606669667861;[0.14560941 0.07382971 0.09871116 0.12431808];[0.0100303  0.01575206 0.00972237 0.00688266];8.708271318331083e-11;6.834493982998669e-13;[0.92036493 0.05942611 0.06873563 0.15988412 0.19044419 0.01147082 0.01769702 0.00690965 0.01583494]
26526;4.299751526598975e-06;0.8886930196634637;[0.14239858 0.07309371 0.10120143 0.12570738];[0.00989355 0.01604352 0.01036726 0.00729807];8.708271318331083e-11;6.834493982998669e-13;[0.71297366 0.14803465 0.10725349 0.08353327 0.08013293 0.01164877 0.01781018 0.00841331 0.0165579 ]
